circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.2,7,30,833,736,35,0,0,88.36,97,97,18,17,0,0,79,79,0,17,0,0,754,88.36,90.52,90.52,2.16,0.0,2.16,0.3,0.07,0.12,0.49,244.89,0,0.0,PASS
b03,0.05,2,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.08,0.07,0.13,0.28,0,0,0.0,PASS
b03,0.1,4,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.07,0.07,0.08,0.22,0,0,0.0,PASS
b03,0.15,5,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.1,0.06,0.1,0.26,0,0,0.0,PASS
b03,0.2,7,30,833,736,35,0,0,88.36,97,97,18,17,0,0,79,79,0,17,0,0,754,88.36,90.52,90.52,2.16,0.0,2.16,0.1,0.16,0.08,0.34,114.27,0,0.0,PASS
b04,0.05,4,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,50.0,15.18,75.57,140.76,0,0,0.0,PASS
b04,0.1,7,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,73.91,19.18,31.62,124.71,0,0,0.0,PASS
b04,0.15,11,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,67.65,19.59,30.89,118.13,0,0,0.0,PASS
b04,0.2,14,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,67.48,19.51,29.71,116.69,0,0,0.0,PASS
b05,0.05,5,88,4542,4214,150,0,0,92.78,328,328,0,150,0,0,328,328,0,150,0,0,4214,92.78,92.78,92.78,0.0,0.0,0.0,10.41,4.1,6.14,20.65,0,0,0.0,PASS
b05,0.1,9,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,9.45,3.99,7.6,21.03,0,0,0.0,PASS
b05,0.15,14,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,9.38,3.99,6.19,19.55,0,0,0.0,PASS
b05,0.2,18,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,10.68,4.05,6.08,20.81,0,0,0.0,PASS
